,shade_00s_70s,phosphorous_p1.p4,c3_c4,species_code,color,usda_code,block,rep,individual,note
1,70s,p3,c3,disp,purple,disp2,1,1,55,
2,70s,p1,c3,disp,purple,disp2,2,2,103,
3,00s,p1,c3,disp,purple,disp2,4,4,199,
4,70s,p2,c3,disp,purple,disp2,4,4,239,
5,00s,p4,c3,disp,purple,disp2,5,5,287,
6,70s,p4,c3,disp,purple,disp2,5,5,319,
7,00s,p3,c3,disp,purple,disp2,6,6,343,
8,00s,p4,c3,disp,purple,disp2,6,6,351,
9,70s,p3,c3,disp,purple,disp2,6,6,375,
10,00s,p3,c3,dicl,yellow,dicl,1,1,21,
11,70s,p2,c3,dicl,yellow,dicl,1,1,45,
12,70s,p2,c3,dicl,yellow,dicl,2,2,109,
13,00s,p2,c3,dicl,yellow,dicl,4,4,205,
14,70s,p3,c3,dicl,yellow,dicl,4,4,245,
15,00s,p1,c3,dicl,yellow,dicl,5,5,261,
16,70s,p3,c3,dicl,yellow,dicl,5,5,309,
17,00s,p1,c3,dicl,yellow,dicl,6,6,325,
18,70s,p2,c3,diol,red,diol,2,2,112,
19,70s,p3,c3,diol,red,diol,2,2,120,
20,00s,p3,c3,diol,red,diol,4,4,216,
21,70s,p2,c3,diol,red,diol,4,4,240,
22,70s,p3,c3,diol,red,diol,4,4,248,
23,70s,p4,c3,diol,red,diol,4,4,256,
24,00s,p3,c3,diol,red,diol,5,5,280,
25,70s,p3,c3,diol,red,diol,5,5,312,
26,00s,p4,c4,paan,orange,paan4,1,1,27,
27,70s,p1,c4,paan,orange,paan4,1,1,35,
28,70s,p3,c4,paan,orange,paan4,1,1,51,
29,70s,p3,c4,paan,orange,paan4,3,3,179,
30,00s,p1,c4,paan,orange,paan4,4,4,195,
31,00s,p4,c4,paan,orange,paan4,4,4,219,
32,70s,p3,c4,paan,orange,paan4,4,4,243,
33,00s,p1,c4,paan,orange,paan4,5,5,259,
34,00s,p2,c4,paan,orange,paan4,5,5,267,
35,00s,p3,c4,paan,orange,paan4,5,5,275,
36,70s,p1,c4,paan,orange,paan4,5,5,291,
37,70s,p3,c4,paan,orange,paan4,6,6,371,
38,00s,p2,c4,paco,green,paco2,1,1,12,
39,00s,p4,c4,paco,green,paco2,1,1,28,
40,70s,p1,c4,paco,green,paco2,1,1,36,
41,70s,p4,c4,paco,green,paco2,1,1,60,
42,70s,p3,c4,paco,green,paco2,2,2,116,
43,70s,p4,c4,paco,green,paco2,3,3,188,
44,70s,p2,c4,paco,green,paco2,4,4,236,
45,00s,p1,c4,paco,green,paco2,5,5,260,
46,00s,p4,c4,paco,green,paco2,5,5,284,
47,70s,p3,c4,paco,green,paco2,5,5,308,
48,00s,p3,c4,paco,green,paco2,6,6,340,
49,70s,p1,c4,paco,green,paco2,6,6,356,
50,70s,p4,c4,paco,green,paco2,6,6,380,
51,00s,p3,c4,paha,pink,paha,1,1,18,
52,70s,p2,c4,paha,pink,paha,1,1,42,
53,00s,p3,c4,paha,pink,paha,2,2,82,
54,00s,p4,c4,paha,pink,paha,4,4,218,
55,70s,p2,c4,paha,pink,paha,4,4,234,
56,00s,p1,c4,paha,pink,paha,5,5,258,
57,00s,p4,c4,paha,pink,paha,5,5,282,
58,70s,p2,c4,paha,pink,paha,5,5,298,
59,00s,p3,c3,patr,blue,patr3,1,1,22,
60,70s,p1,c3,patr,blue,patr3,1,1,38,
61,00s,p3,c3,patr,blue,patr3,2,2,86,
62,00s,p2,c3,patr,blue,patr3,5,5,270,
63,00s,p3,c3,patr,blue,patr3,5,5,278,
64,00s,p4,c3,patr,blue,patr3,5,5,286,
65,00s,p3,c3,patr,blue,patr3,6,6,342,
66,00s,p2,c4,pavi,white,pavi2,1,1,9,
67,70s,p4,c4,pavi,white,pavi2,3,3,185,
68,00s,p3,c4,pavi,white,pavi2,4,4,209,
69,00s,p2,c4,pavi,white,pavi2,5,5,265,
70,70s,p1,c4,pavi,white,pavi2,5,5,289,
71,70s,p2,c4,pavi,white,pavi2,5,5,297,
72,00s,p1,c4,pavi,white,pavi2,6,6,321,
73,00s,p3,c4,pavi,white,pavi2,6,6,337,
74,70s,p3,c4,pavi,white,pavi2,6,6,369,
